MEDIA_URI,MIME_TYPE,MEDIA_TYPE,PREVIEW_URI,media_license,media_label_1,media_label_value_1,media_label_2,media_label_value_2,media_label_3,media_label_value_3,media_label_4,media_label_value_4,media_label_5,media_label_value_5,media_label_6,media_label_value_6,media_label_7,media_label_value_7,media_label_8,media_label_value_8,media_label_9,media_label_value_9,media_label_10,media_label_value_10,media_relationship_1,media_related_key_1,media_related_term_1,media_relationship_2,media_related_key_2,media_related_term_2,media_relationship_3,media_related_key_3,media_related_term_3,media_relationship_4,media_related_key_4,media_related_term_4,media_relationship_5,media_related_key_5,media_related_term_5
http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/BOT2016_3_1.jpg,image/jpeg,image,http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/tn_BOT2016_3_1.jpg,CC BY-NC-SA,description,Asclepias tuberosa (Butterfly milkweed) growing on the grounds of the Peggy Notebaert Nature Museum.,made date,2015-07-14,subject,plant,,,,,,,,,,,,,,,shows cataloged_item,CHAS:Herb:2016.3.1,,,,,,,,,,,,,
http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/BOT2016_3_10.jpg,image/jpeg,image,http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/tn_BOT2016_3_10.jpg,CC BY-NC-SA,description,Tradescantia ohiensis (Spiderwort) growing on the grounds of the Peggy Notebaert Nature Museum.,made date,2015-07-14,subject,plant,,,,,,,,,,,,,,,shows cataloged_item,CHAS:Herb:2016.3.10,,,,,,,,,,,,,
http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/BOT2016_3_11.jpg,image/jpeg,image,http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/tn_BOT2016_3_11.jpg,CC BY-NC-SA,description,Monarda fistulosa (Wild bergamot) growing on the grounds of the Peggy Notebaert Nature Museum.,made date,2015-07-14,subject,plant,,,,,,,,,,,,,,,shows cataloged_item,CHAS:Herb:2016.3.11,,,,,,,,,,,,,
http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/BOT2016_3_11b.jpg,image/jpeg,image,http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/tn_BOT2016_3_11b.jpg,CC BY-NC-SA,description,Monarda fistulosa (Wild bergamot) growing on the grounds of the Peggy Notebaert Nature Museum.,made date,2015-07-14,subject,plant,,,,,,,,,,,,,,,shows cataloged_item,CHAS:Herb:2016.3.11,,,,,,,,,,,,,
http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/BOT2016_3_12.jpg,image/jpeg,image,http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/tn_BOT2016_3_12.jpg,CC BY-NC-SA,description,Baptisia alba (Wild white indigo) growing on the grounds of the Peggy Notebaert Nature Museum.,made date,2015-07-14,subject,plant,,,,,,,,,,,,,,,shows cataloged_item,CHAS:Herb:2016.3.12,,,,,,,,,,,,,
http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/BOT2016_3_1b.jpg,image/jpeg,image,http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/tn_BOT2016_3_1b.jpg,CC BY-NC-SA,description,Asclepias tuberosa (Butterfly milkweed) growing on the grounds of the Peggy Notebaert Nature Museum.,made date,2015-07-14,subject,plant,,,,,,,,,,,,,,,shows cataloged_item,CHAS:Herb:2016.3.1,,,,,,,,,,,,,
http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/BOT2016_3_2.jpg,image/jpeg,image,http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/tn_BOT2016_3_2.jpg,CC BY-NC-SA,description,Silphium laciniatum (Compass plant) growing on the grounds of the Peggy Notebaert Nature Museum.,made date,2015-07-14,subject,plant,,,,,,,,,,,,,,,shows cataloged_item,CHAS:Herb:2016.3.2,,,,,,,,,,,,,
http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/BOT2016_3_3.jpg,image/jpeg,image,http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/tn_BOT2016_3_3.jpg,CC BY-NC-SA,description,Erigeron strigosus (Daisy fleabane) growing on the grounds of the Peggy Notebaert Nature Museum.,made date,2015-07-14,subject,plant,,,,,,,,,,,,,,,shows cataloged_item,CHAS:Herb:2016.3.3,,,,,,,,,,,,,
http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/BOT2016_3_4.jpg,image/jpeg,image,http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/tn_BOT2016_3_4.jpg,CC BY-NC-SA,description,Helenium autumnale (False sunflower) growing on the grounds of the Peggy Notebaert Nature Museum.,made date,2015-07-14,subject,plant,,,,,,,,,,,,,,,shows cataloged_item,CHAS:Herb:2016.3.4,,,,,,,,,,,,,
http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/BOT2016_3_4b.jpg,image/jpeg,image,http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/tn_BOT2016_3_4b.jpg,CC BY-NC-SA,description,Helenium autumnale (False sunflower) growing on the grounds of the Peggy Notebaert Nature Museum.,made date,2015-07-14,subject,plant,,,,,,,,,,,,,,,shows cataloged_item,CHAS:Herb:2016.3.4,,,,,,,,,,,,,
http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/BOT2016_3_5.jpg,image/jpeg,image,http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/tn_BOT2016_3_5.jpg,CC BY-NC-SA,description,Convolvulus arvensis (Field bindweed) growing on the grounds of the Peggy Notebaert Nature Museum.,made date,2015-07-14,subject,plant,,,,,,,,,,,,,,,shows cataloged_item,CHAS:Herb:2016.3.5,,,,,,,,,,,,,
http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/BOT2016_3_5b.jpg,image/jpeg,image,http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/tn_BOT2016_3_5b.jpg,CC BY-NC-SA,description,Convolvulus arvensis (Field bindweed) growing on the grounds of the Peggy Notebaert Nature Museum.,made date,2015-07-14,subject,plant,,,,,,,,,,,,,,,shows cataloged_item,CHAS:Herb:2016.3.5,,,,,,,,,,,,,
http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/BOT2016_3_5c.jpg,image/jpeg,image,http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/tn_BOT2016_3_5c.jpg,CC BY-NC-SA,description,Convolvulus arvensis (Field bindweed) growing on the grounds of the Peggy Notebaert Nature Museum.,made date,2015-07-14,subject,plant,,,,,,,,,,,,,,,shows cataloged_item,CHAS:Herb:2016.3.5,,,,,,,,,,,,,
http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/BOT2016_3_6.jpg,image/jpeg,image,http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/tn_BOT2016_3_6.jpg,CC BY-NC-SA,description,Verbena stricta (Hoary vervain) growing on the grounds of the Peggy Notebaert Nature Museum.,made date,2015-07-14,subject,plant,,,,,,,,,,,,,,,shows cataloged_item,CHAS:Herb:2016.3.6,,,,,,,,,,,,,
http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/BOT2016_3_7.jpg,image/jpeg,image,http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/tn_BOT2016_3_7.jpg,CC BY-NC-SA,description,Spiraea alba (Meadowsweet) growing on the grounds of the Peggy Notebaert Nature Museum.,made date,2015-07-14,subject,plant,,,,,,,,,,,,,,,shows cataloged_item,CHAS:Herb:2016.3.7,,,,,,,,,,,,,
http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/BOT2016_3_8.jpg,image/jpeg,image,http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/tn_BOT2016_3_8.jpg,CC BY-NC-SA,description,Silphium integrifolium (Rosinweed) growing on the grounds of the Peggy Notebaert Nature Museum.,made date,2015-07-14,subject,plant,,,,,,,,,,,,,,,shows cataloged_item,CHAS:Herb:2016.3.8,,,,,,,,,,,,,
http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/BOT2016_3_9.jpg,image/jpeg,image,http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/tn_BOT2016_3_9.jpg,CC BY-NC-SA,description,Physalis subglabrata  (Tall ground cherry) growing on the grounds of the Peggy Notebaert Nature Museum.,made date,2015-07-14,subject,plant,,,,,,,,,,,,,,,shows cataloged_item,CHAS:Herb:2016.3.9,,,,,,,,,,,,,
http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/BOT2016_3_9b.jpg,image/jpeg,image,http://arctos.database.museum/mediaUploads/ekrimmel/2016-08-05/tn_BOT2016_3_9b.jpg,CC BY-NC-SA,description,Physalis subglabrata  (Tall ground cherry) growing on the grounds of the Peggy Notebaert Nature Museum.,made date,2015-07-14,subject,plant,,,,,,,,,,,,,,,shows cataloged_item,CHAS:Herb:2016.3.9,,,,,,,,,,,,,