PREFERRED_NAME,OTHER_NAME_1,OTHER_NAME_TYPE_1,OTHER_NAME_2,OTHER_NAME_TYPE_2,OTHER_NAME_3,OTHER_NAME_TYPE_3,AGENT_REMARK,agent_type
W. M. Gordon,Gordon,last name,M.,middle name,W.,first name,,person
M. Britton,Britton,last name,,middle name,M.,first name,,person
Leonard Frank,Frank,last name,,middle name,Leonard,first name,,person
W. Thietle,Thietle,last name,,middle name,W.,first name,,person
R. E. Laidlaw,Laidlaw,last name,E.,middle name,R.,first name,,person
William G. Hassler,Hassler,last name,G.,middle name,William,first name,,person
Fred Lewis,Lewis,last name,,middle name,Fred,first name,,person
Phil Sawyer,Sawyer,last name,,middle name,Phil,first name,,person
Amos Taylor,Taylor,last name,,middle name,Amos,first name,,person
Eugene Fisher,Fisher,last name,,middle name,Eugene,first name,,person
Jean Louis Berlandier,Berlandier,last name,Louis,middle name,Jean,first name,,person
Karl Maslowski,Maslowski,last name,,middle name,Karl,first name,,person
Kenneth Rowe,Rowe,last name,,middle name,Kenneth,first name,,person
Leo Bank,Bank,last name,,middle name,Leo,first name,,person
Robert McClanahan,McClanahan,last name,,middle name,Robert,first name,,person
Susan Baarsch,Baarsch,last name,,middle name,Susan,first name,,person