MEDIA_URI,PREVIEW_URI,MEDIA_LICENSE,MIME_TYPE,MEDIA_TYPE,MEDIA_RELATIONSHIP_1,MEDIA_RELATED_TERM_1,MEDIA_RELATIONSHIP_2,MEDIA_RELATED_TERM_2,MEDIA_RELATIONSHIP_3,MEDIA_RELATED_TERM_3,MEDIA_RELATIONSHIP_4,MEDIA_RELATED_TERM_4,MEDIA_LABEL_1,MEDIA_LABEL_VALUE_1,MEDIA_LABEL_2,MEDIA_LABEL_VALUE_2,MEDIA_LABEL_3,MEDIA_LABEL_VALUE_3,MEDIA_LABEL_4,MEDIA_LABEL_VALUE_4
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_20702-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_20702-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:20702,subject,mollusk,made date,2017-06-16,title,"Holotype of Murex bituberculatus, frontal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_20702-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_20702-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:20702,subject,mollusk,made date,2017-06-16,title,"Holotype of Murex bituberculatus, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_20702-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_20702-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:20702,subject,mollusk,made date,2017-06-16,title,"Holotype of Murex bituberculatus, lateral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_20703-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_20703-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:20703,subject,mollusk,made date,2017-07-01,title,"Holotype of Ricinula (Sistrum) rugosoplicata, frontal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_20703-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_20703-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:20703,subject,mollusk,made date,2017-07-01,title,"Holotype of Ricinula (Sistrum) rugosoplicata, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_20703-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_20703-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:20703,subject,mollusk,made date,2017-07-01,title,"Holotype of Ricinula (Sistrum) rugosoplicata, lateral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_20704.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_20704.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:20704.1,subject,mollusk,made date,2017-07-29,title,Lectotype of Purpura problematica,subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_21038-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_21038-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:21038,subject,mollusk,made date,2017-07-08,title,"Syntype of Polygyra multilineata algonquinensis, apical view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_21038-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_21038-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:21038,subject,mollusk,made date,2017-07-08,title,"Syntype of Polygyra multilineata algonquinensis, frontal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_21038-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_21038-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:21038,subject,mollusk,made date,2017-07-08,title,"Syntype of Polygyra multilineata algonquinensis, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_21038-4.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_21038-4.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:21038,subject,mollusk,made date,2017-07-08,title,"Syntype of Polygyra multilineata algonquinensis, umbilical view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22133-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22133-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22133,subject,mollusk,made date,2017-08-25,title,"Syntype of Lampsilis fimbriata, dorsal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22133-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22133-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22133,subject,mollusk,made date,2017-08-25,title,"Syntype of Lampsilis fimbriata, dorsal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22133-5.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22133-5.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22133,subject,mollusk,made date,2017-08-25,title,"Syntype of Lampsilis fimbriata, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22133-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22133-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22133,subject,mollusk,made date,2017-08-25,title,"Syntype of Lampsilis fimbriata, ventral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22133-4.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22133-4.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22133,subject,mollusk,made date,2017-08-25,title,"Syntype of Lampsilis fimbriata, ventral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22169-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22169-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22169,subject,mollusk,made date,2017-06-23,title,"Syntype of Pachychilus vallesensis, frontal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22169-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22169-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22169,subject,mollusk,made date,2017-06-23,title,"Syntype of Pachychilus vallesensis, frontal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22169-5.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22169-5.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22169,subject,mollusk,made date,2017-06-23,title,"Syntype of Pachychilus vallesensis, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22169-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22169-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22169,subject,mollusk,made date,2017-06-23,title,"Syntype of Pachychilus vallesensis, lateral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22169-4.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22169-4.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22169,subject,mollusk,made date,2017-06-23,title,"Syntype of Pachychilus vallesensis, lateral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22241-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22241-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22241,subject,mollusk,made date,2017-06-23,title,"Syntype of Pachychilus vallesensis, frontal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22241-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22241-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22241,subject,mollusk,made date,2017-06-23,title,"Syntype of Pachychilus vallesensis, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22241-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22241-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22241,subject,mollusk,made date,2017-06-23,title,"Syntype of Pachychilus vallesensis, lateral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22285-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22285-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22285,subject,mollusk,made date,2017-08-26,title,"Locotype of Lampsilis iridella, dorsal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22285-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22285-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22285,subject,mollusk,made date,2017-08-26,title,"Locotype of Lampsilis iridella, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22285-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22285-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22285,subject,mollusk,made date,2017-08-26,title,"Locotype of Lampsilis iridella, ventral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23050-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23050-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23050,subject,mollusk,made date,2017-06-24,title,"Holotype of Lymnaea stagnalis higleyi, frontal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23050-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23050-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23050,subject,mollusk,made date,2017-06-24,title,"Holotype of Lymnaea stagnalis higleyi, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23050-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23050-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23050,subject,mollusk,made date,2017-06-24,title,"Holotype of Lymnaea stagnalis higleyi, lateral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23089-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23089-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23089,subject,mollusk,made date,2017-06-16,title,"Paratype of Lymnaea randolphi, frontal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23089-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23089-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23089,subject,mollusk,made date,2017-06-16,title,"Paratype of Lymnaea randolphi, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23089-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23089-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23089,subject,mollusk,made date,2017-06-16,title,"Paratype of Lymnaea randolphi, lateral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23090-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23090-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23090,subject,mollusk,made date,2017-06-24,title,"Syntype of Lymnaea randolphi, frontal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23090-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23090-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23090,subject,mollusk,made date,2017-06-24,title,"Syntype of Lymnaea randolphi, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23090-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23090-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23090,subject,mollusk,made date,2017-06-24,title,"Syntype of Lymnaea randolphi, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23090-4.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23090-4.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23090,subject,mollusk,made date,2017-06-24,title,"Syntype of Lymnaea randolphi, lateral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23125.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23125.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23125.1,subject,mollusk,made date,2017-07-27,title,Lectotype of Lymnaea dalli,subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23137.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23137.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23137.1,subject,mollusk,made date,2017-07-22,title,Lectotype of Lymnaea owascoensis,subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23156-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23156-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23156,subject,mollusk,made date,2017-07-08,title,"Lectotype of Lymnaea sterkii, frontal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23156-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23156-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23156,subject,mollusk,made date,2017-07-08,title,"Lectotype of Lymnaea sterkii, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23156-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23156-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23156,subject,mollusk,made date,2017-07-08,title,"Lectotype of Lymnaea sterkii, lateral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23330-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23330-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23330,subject,mollusk,made date,2017-07-22,title,"Syntype of Lymnaea bryanti, frontal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23330-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23330-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23330,subject,mollusk,made date,2017-07-22,title,"Syntype of Lymnaea bryanti, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23330-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23330-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23330,subject,mollusk,made date,2017-07-22,title,"Syntype of Lymnaea bryanti, lateral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23343-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23343-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23343,subject,mollusk,made date,2017-06-30,title,"Paratype of Galba palustri pseudopalustris, frontal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23343-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23343-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23343,subject,mollusk,made date,2017-06-30,title,"Paratype of Galba palustri pseudopalustris, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23343-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23343-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23343,subject,mollusk,made date,2017-06-30,title,"Paratype of Galba palustri pseudopalustris, lateral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23433-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23433-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23433,subject,mollusk,made date,2017-07-14,title,"Paratype of Lymnaea palustris walkeriana, frontal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23433-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23433-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23433,subject,mollusk,made date,2017-07-14,title,"Paratype of Lymnaea palustris walkeriana, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23433-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23433-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23433,subject,mollusk,made date,2017-07-14,title,"Paratype of Lymnaea palustris walkeriana, lateral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23486-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23486-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23486,subject,mollusk,made date,2017-07-08,title,"Syntype of Galba palustrus alpensis, frontal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23486-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23486-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23486,subject,mollusk,made date,2017-07-08,title,"Syntype of Galba palustrus alpensis, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23486-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23486-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23486,subject,mollusk,made date,2017-07-08,title,"Syntype of Galba palustrus alpensis, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_23486-4.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_23486-4.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:23486,subject,mollusk,made date,2017-07-08,title,"Syntype of Galba palustrus alpensis, lateral view",subject,type specimen
