OTHER_ID_NUM_1,CAT_NUM,ACCN,GUID_PREFIX,COLLECTION_OBJECT_ID,VERIFICATIONSTATUS,ENTEREDBY,TAXON_NAME,NATURE_OF_ID,MADE_DATE,IDENTIFICATION_REMARKS,ID_MADE_BY_AGENT,PART_REMARK_1,PART_NAME_1,PART_LOT_COUNT_1,PART_CONDITION_1,PART_DISPOSITION_1,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,COLLECTOR_AGENT_2,COLLECTOR_ROLE_2,COLLECTOR_AGENT_3,COLLECTOR_ROLE_3,OTHER_ID_NUM_TYPE_1,OTHER_ID_NUM_2,OTHER_ID_NUM_TYPE_2,SPECIMEN_EVENT_TYPE,COLLECTING_SOURCE,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,COLLECTING_METHOD,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,COLL_EVENT_REMARKS,VERBATIM_LOCALITY,HIGHER_GEOG,SPEC_LOCALITY,LOCALITY_REMARKS,SPECIMEN_EVENT_REMARK,COLL_OBJECT_REMARKS,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_UNITS_1,ATTRIBUTE_REMARKS_1,ATTRIBUTE_DATE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_UNITS_2,ATTRIBUTE_REMARKS_2,ATTRIBUTE_DATE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_UNITS_3,ATTRIBUTE_REMARKS_3,ATTRIBUTE_DATE_3,ATTRIBUTE_DETERMINER_3,ATTRIBUTE_4,ATTRIBUTE_VALUE_4,ATTRIBUTE_UNITS_4,ATTRIBUTE_REMARKS_4,ATTRIBUTE_DATE_4,ATTRIBUTE_DETERMINER_4,ATTRIBUTE_5,ATTRIBUTE_VALUE_5,ATTRIBUTE_UNITS_5,ATTRIBUTE_REMARKS_5,ATTRIBUTE_DATE_5,ATTRIBUTE_DETERMINER_5,ATTRIBUTE_6,ATTRIBUTE_VALUE_6,ATTRIBUTE_UNITS_6,ATTRIBUTE_REMARKS_6,ATTRIBUTE_DATE_6,ATTRIBUTE_DETERMINER_6,ATTRIBUTE_7,ATTRIBUTE_VALUE_7,ATTRIBUTE_UNITS_7,ATTRIBUTE_REMARKS_7,ATTRIBUTE_DATE_7,ATTRIBUTE_DETERMINER_7,ATTRIBUTE_8,ATTRIBUTE_VALUE_8,ATTRIBUTE_UNITS_8,ATTRIBUTE_REMARKS_8,ATTRIBUTE_DATE_8,ATTRIBUTE_DETERMINER_8,ATTRIBUTE_9,ATTRIBUTE_VALUE_9,ATTRIBUTE_UNITS_9,ATTRIBUTE_DATE_9,ATTRIBUTE_DETERMINER_9,ATTRIBUTE_10,ATTRIBUTE_VALUE_10,ATTRIBUTE_UNITS_10,ATTRIBUTE_DATE_10,ATTRIBUTE_DETERMINER_10
CB-04,2018.1.60,[CHAS:Mamm]2018.1,CHAS:Bird,20,unverified,achinn,Parkesia noveboracensis,expert,2017-05-09,Northern Waterthrush.,Celeste Troon,date prepared: 2018-05-08,"skin, study",1,Fair.,in collection,Cassie Baron,preparator,Seth Harper,collector,,,preparator number,,,collection,wild caught,Seth Harper,2017-05-09,window strike,05 09 17,2017-05-09,2017-05-09,time found: 9:00 AM; estimated time of death: 6:00 AM; weather: fair,"found in ravine by museum entrance, PNNM","North America, United States, Illinois, Cook County","Ravine by museum entrance, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",,,,weight,15.5,g,,2018-05-08,Cassie Baron,total length,134,mm,,2018-05-08,Cassie Baron,tarsus length,20.44,mm,,2018-05-08,Cassie Baron,tail length,50.41,mm,,2018-05-08,Cassie Baron,wing chord,75.07,mm,,2018-05-08,Cassie Baron,,,,,,,fat deposition,none,,,2018-05-08,Cassie Baron,molt condition,none,,,2018-05-08,Cassie Baron,skull ossification,100%,,2018-05-08,Cassie Baron,,,,,
CRG-07,2018.1.61,[CHAS:Mamm]2018.1,CHAS:Bird,12,unverified,achinn,Setophaga ruticilla,expert,2010-06-22,American Redstart.,Jamie Forberg,date prepared: 2018-03-15,"skin, study",1,unchecked,in collection,Chanel Gallo,preparator,Jamie Forberg,collector,,,preparator number,,,collection,wild caught,Jamie Forberg,2010-06-22,window strike,day 22 month 6 year 2010,2010-06-22,2010-06-22,may have hit the skinny window next to the door; time found: 9:00 AM; estimated time of death: 7:00 AM; weather: sunny/humid,"To the left of the door, PNNM","North America, United States, Illinois, Cook County","to the left of the door, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",,,,weight,7,g,,2018-03-15,Chanel Gallo,total length,112.8,mm,,2018-03-15,Chanel Gallo,tarsus length,20.77,mm,,2018-03-15,Chanel Gallo,tail length,57,mm,,2018-03-15,Chanel Gallo,wing chord,60.97,mm,,2018-03-15,Chanel Gallo,bill length,13,mm,measured from tip of bill to the corner of gape,2018-03-15,Chanel Gallo,fat deposition,none,,,2018-03-15,Chanel Gallo,molt condition,none,,,2018-03-15,Chanel Gallo,skull ossification,100%,,2018-03-15,Chanel Gallo,,,,,
CRG-12,2018.1.64,[CHAS:Mamm]2018.1,CHAS:Bird,1,unverified,achinn,Porzana carolina,expert,2006-09-19,Sora.,Celeste Troon,date prepared: 2018-04-06,"skin, study",1,Excellent.,in collection,Chanel Gallo,preparator,Celeste Troon,collector,,,preparator number,,,collection,wild caught,Celeste Troon,2006-09-19,,Day 19 Month 09 Year 2006,2006-09-19,2006-09-19,time found: 1:34 PM; weather: heavy cloud,"under the bike rack at the northwest corner of the building, PNNM","North America, United States, Illinois, Cook County","under the bike rack at the northwest corner of the building, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",,,,weight,54,g,,2018-04-06,Chanel Gallo,total length,175,mm,,2018-04-06,Chanel Gallo,tarsus length,35.24,mm,,2018-04-06,Chanel Gallo,tail length,57.29,mm,,2018-04-06,Chanel Gallo,wing chord,104.6,mm,,2018-04-06,Chanel Gallo,bill length,16.55,mm,measured from tip of bill to the corner of gape,2018-04-06,Chanel Gallo,fat deposition,moderate,,,2018-04-06,Chanel Gallo,molt condition,none,,,2018-04-06,Chanel Gallo,skull ossification,100%,,2018-04-06,Chanel Gallo,age class,juvenile,,2006-09-19,Celeste Troon
DJ-05,2018.1.69,[CHAS:Mamm]2018.1,CHAS:Bird,36,unverified,achinn,Sphyrapicus varius,expert,2005-09-28,Yellow-bellied Sapsucker.,Steve Sullivan,date prepared: 2018-03-12,"skin, study",1,Excellent.,in collection,Dana Jensen,preparator,Steve Sullivan,collector,,,preparator number,,,collection,wild caught,Steve Sullivan,2005-09-28,window strike,Day 28 Month Sept Year 2005,2005-09-28,2005-09-28,estimated time of death: likely afternoon,"#7 3rd floor, on the east side of the building, PNNM","North America, United States, Illinois, Cook County","site #7, 3rd floor, on the east side of the building, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",,,,weight,51,g,,2018-03-12,Dana Jensen,total length,200,mm,,2018-03-12,Dana Jensen,tarsus length,25,mm,,2018-03-12,Dana Jensen,tail length,82,mm,,2018-03-12,Dana Jensen,wing chord,127,mm,,2018-03-12,Dana Jensen,,,,,,,fat deposition,obese,,,2018-03-12,Dana Jensen,molt condition,body,,,2018-03-12,Dana Jensen,,,,,,,,,,
ED-12,2018.1.75,[CHAS:Mamm]2018.1,CHAS:Bird,11,unverified,achinn,Geothlypis trichas,expert,2017-05-10,Common Yellowthroat.,Janet Swensen,date prepared: 2018-04-19,"skin, study",1,Excellent.,in collection,Erin Dunbar,preparator,Annamarie Fadorsen,collector,,,preparator number,,,collection,wild caught,Annamarie Fadorsen,2017-05-10,window strike,10 05 2017,2017-05-10,2017-05-10,"time found: 9:25 PM; estimated time of death: ~7 AM; weather: clear, 55F",PNNM,"North America, United States, Illinois, Cook County","Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",,,,weight,9,g,,2018-04-19,Erin Dunbar,total length,106.29,mm,,2018-04-19,Erin Dunbar,tarsus length,19.76,mm,,2018-04-19,Erin Dunbar,tail length,50.75,mm,,2018-04-19,Erin Dunbar,wing chord,51.4,mm,,2018-04-19,Erin Dunbar,bill length,14.33,mm,measured from tip of bill to the corner of gape,2018-04-19,Erin Dunbar,fat deposition,trace,,,2018-04-19,Erin Dunbar,sex,female,,,2017-05-10,Janet Swenson,skull ossification,100%,,2018-04-19,Erin Dunbar,,,,,
EZ-03,2018.1.77,[CHAS:Mamm]2018.1,CHAS:Bird,14,unverified,achinn,Melospiza melodia,expert,2017-03-20,Song Sparrow.,Celeste Troon,date prepared: 2018-03-19,"skin, study",1,Excellent.,in collection,Ellie Zahedi,preparator,Celeste Troon,collector,,,preparator number,,,collection,wild caught,Celeste Troon,2017-03-20,window strike,20 03 2017,2017-03-20,2017-03-20,"time found: 9:05 AM; estimated time of death: early am; weather: cloudy, 40F","2, PNNM","North America, United States, Illinois, Cook County","site #2, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",,,,weight,21,g,,2018-03-19,Ellie Zahedi,total length,140.86,mm,,2018-03-19,Ellie Zahedi,tarsus length,25.36,mm,,2018-03-19,Ellie Zahedi,tail length,62.63,mm,,2018-03-19,Ellie Zahedi,wing chord,65.58,mm,,2018-03-19,Ellie Zahedi,,,,,,,fat deposition,heavy,,,2018-03-19,Ellie Zahedi,molt condition,none,,,2018-03-19,Ellie Zahedi,skull ossification,100%,,2018-03-19,Ellie Zahedi,,,,,
EZ-06,2018.1.80,[CHAS:Mamm]2018.1,CHAS:Bird,32,unverified,achinn,Spinus tristis,expert,2011-08-09,American Goldfinch.,Seth Harper,date prepared: 2018-05-08,"skin, study",1,Good.,in collection,Ellie Zahedi,preparator,Seth Harper,collector,,,preparator number,,,collection,wild caught,Seth Harper,2011-08-09,window strike,08 09 11,2011-08-09,2011-08-09,time found: 2:15 PM; estimated time of death: 2:14 PM; weather: cloudy,"W. end of bird walk 3rd floor, PNNM","North America, United States, Illinois, Cook County","west end of bird walk, 3rd floor, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",,,,weight,11.5,g,,2018-05-08,Ellie Zahedi,total length,103.87,mm,,2018-05-08,Ellie Zahedi,tarsus length,12.43,mm,,2018-05-08,Ellie Zahedi,tail length,46.61,mm,,2018-05-08,Ellie Zahedi,wing chord,70.75,mm,,2018-05-08,Ellie Zahedi,,,,,,,fat deposition,moderate,,,2018-05-08,Ellie Zahedi,molt condition,body,,,2018-05-08,Ellie Zahedi,skull ossification,0%,,2018-05-08,Ellie Zahedi,,,,,
JC-08,2018.1.81,[CHAS:Mamm]2018.1,CHAS:Bird,5,unverified,achinn,Sturnus vulgaris,expert,2017-06-09,European Starling.,Lalainya Goldsberry,date prepared: 2018-03-15,"skin, study",1,Excellent.,in collection,Julianna Crisanti,preparator,Lalainya Goldsberry,collector,,,preparator number,,,collection,wild caught,Lalainya Goldsberry,2017-06-09,,09 06 2017,2017-06-09,2017-06-09,"time found: 8:50 AM; estimated time of death: 8:00 AM; weather: Clear, sunny 70F","By Ravine doors (left door), PNNM","North America, United States, Illinois, Cook County","by left Ravine door, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",,,,weight,74,g,,2018-03-15,Julianna Crisanti,total length,195,mm,,2018-03-15,Julianna Crisanti,tarsus length,31,mm,,2018-03-15,Julianna Crisanti,tail length,73,mm,,2018-03-15,Julianna Crisanti,wing chord,121,mm,,2018-03-15,Julianna Crisanti,age class,juvenile,,,2017-06-09,Lalainya Goldsberry,fat deposition,trace,,,2018-03-15,Julianna Crisanti,molt condition,none,,,2018-03-15,Julianna Crisanti,skull ossification,0%,,2018-03-15,Julianna Crisanti,,,,,
JC-09,2018.1.82,[CHAS:Mamm]2018.1,CHAS:Bird,27,unverified,achinn,Junco hyemalis,expert,2003-12-22,Dark-eyed Junco.,Scott J. Wenthe,date prepared: 2018-04-19,"skin, study",1,Excellent.,in collection,Julianna Crisanti,preparator,Scott J. Wenthe,collector,,,preparator number,,,collection,wild caught,Scott J. Wenthe,2003-12-22,window strike,12/22/2003,2003-12-22,2003-12-22,,"Ravine, PNNM","North America, United States, Illinois, Cook County","Ravine, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",,,Found  left humorus broken during specimen preparation.,weight,18,g,,2018-04-19,Julianna Crisanti,total length,145,mm,,2018-04-19,Julianna Crisanti,tarsus length,22,mm,,2018-04-19,Julianna Crisanti,tail length,75,mm,,2018-04-19,Julianna Crisanti,wing chord,80,mm,,2018-04-19,Julianna Crisanti,,,,,,,fat deposition,heavy,,,2018-04-19,Julianna Crisanti,molt condition,none,,,2018-04-19,Julianna Crisanti,skull ossification,100%,,2018-04-19,Julianna Crisanti,,,,,
JI-22,2018.1.83,[CHAS:Mamm]2018.1,CHAS:Bird,29,unverified,achinn,Junco hyemalis,expert,2009-10-27,Dark-eyed Junco (Slate-colored).,Jamie Forberg,date prepared: 2018-03-28,"skin, study",1,Good.,in collection,Janelle Iaccino,preparator,Jamie Forberg,collector,,,preparator number,,,collection,wild caught,Jamie Forberg,2009-10-27,window strike,Day 27 Month 10 Year 2009,2009-10-27,2009-10-27,"time found: 7:28 AM; estimated time of death: 7:00 AM; weather: cloudy, about 50F","#3, PNNM","North America, United States, Illinois, Cook County","site #3, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",,,,weight,17,g,,2018-03-28,Janelle Iaccino,total length,131.48,mm,,2018-03-28,Janelle Iaccino,tarsus length,20.37,mm,,2018-03-28,Janelle Iaccino,tail length,57.95,mm,,2018-03-28,Janelle Iaccino,wing chord,72.47,mm,,2018-03-28,Janelle Iaccino,,,,,,,fat deposition,heavy,,,2018-03-28,Janelle Iaccino,molt condition,none,,,2018-03-28,Janelle Iaccino,skull ossification,70%,,2018-03-28,Janelle Iaccino,,,,,
JI-23,2017.16.1,[CHAS:Mamm]2017.16,CHAS:Mamm,25,unverified,achinn,Sorex cinereus,expert,2017-10-02,Cinereus shrew.,John Legge,date prepared: 2018-04-04,"skin, study",1,Excellent.,in collection,Janelle Iaccino,preparator,John Legge,collector,,,preparator number,,,collection,wild caught,John Legge,2017-10-02,,"October 2nd, 2017",2017-10-02,2017-10-02,,"Fort Custer Training Center, Kalamazoo County, Michigan, Fort Custer Training Center, 42 degrees, 18 minutes, 19.75 seconds North and 85 degrees, 19 minutes, and 57.90 seconds West","North America, United States, Michigan, Kalamazoo County",Fort Custer Training Center,,,Collecting Permit: Endangered Species Permit #1514 issues by Michigan Department of Natural Resources.,weight,3.5,g,,2018-04-04,Janelle Iaccino,total length,77.71,mm,,2018-04-04,Janelle Iaccino,tail length,34.49,mm,,2018-04-04,Janelle Iaccino,ear from notch,3.29,mm,,2018-04-04,Janelle Iaccino,hind foot with claw,10.74,mm,,2018-04-04,Janelle Iaccino,,,,,,,fat deposition,none,,,2018-04-04,Janelle Iaccino,molt condition,none,,,2018-04-04,Janelle Iaccino,,,,,,,,,,
JI-24,2017.16.2,[CHAS:Mamm]2017.16,CHAS:Mamm,24,unverified,achinn,Sorex cinereus,expert,2017-10-02,Cinereus shrew.,John Legge,date prepared: 2018-04-11,"skin, study",1,Excellent.,in collection,Janelle Iaccino,preparator,John Legge,collector,,,preparator number,,,collection,wild caught,John Legge,2017-10-02,,"October 2nd, 2017",2017-10-02,2017-10-02,,"Fort Custer Training Center, Kalamazoo County, Michigan, Fort Custer Training Center, 42 degrees, 18 minutes, 19.75 seconds North and 85 degrees, 19 minutes, and 57.90 seconds West","North America, United States, Michigan, Kalamazoo County",Fort Custer Training Center,,,Collecting Permit: Endangered Species Permit #1514 issues by Michigan Department of Natural Resources.,weight,2.5,g,,2018-04-11,Janelle Iaccino,total length,78.94,mm,,2018-04-11,Janelle Iaccino,tail length,36.14,mm,,2018-04-11,Janelle Iaccino,ear from notch,3.13,mm,,2018-04-11,Janelle Iaccino,hind foot with claw,10.41,mm,,2018-04-11,Janelle Iaccino,,,,,,,fat deposition,trace,,,2018-04-11,Janelle Iaccino,molt condition,trace,,,2018-04-11,Janelle Iaccino,,,,,,,,,,
CRG-18,2018.1.68,[CHAS:Mamm]2018.1,CHAS:Bird,35,unverified,achinn,Sphyrapicus varius,legacy,1989-04-22,Yellow-bellied Sapsucker.,Tim Rust,date prepared: 2018-05-17,"skin, study",1,Excellent.,in collection,Chanel Gallo,preparator,Tim Rust,collector,,,preparator number,,,collection,wild caught,Tim Rust,1989-04-22,,April 22 1989,1989-04-22,1989-04-22,time found: AM,Kenmore & Dickens (2100N 1000W),"North America, United States, Illinois, Cook County","North Kenmore Avenue & West Dickens Avenue, Chicago",,,,weight,39,g,,2018-05-17,Chanel Gallo,total length,183,mm,,2018-05-17,Chanel Gallo,tarsus length,24.03,mm,,2018-05-17,Chanel Gallo,tail length,74.4,mm,,2018-05-17,Chanel Gallo,wing chord,123.38,mm,,2018-05-17,Chanel Gallo,bill length,23.83,mm,measured from tip of bill to the corner of gape,2018-05-17,Chanel Gallo,fat deposition,obese,,,2018-05-17,Chanel Gallo,molt condition,tail,,,2018-05-17,Chanel Gallo,skull ossification,100%,,2018-05-17,Chanel Gallo,,,,,
ED-10,2018.1.73,[CHAS:Mamm]2018.1,CHAS:Bird,2,unverified,achinn,Spinus tristis,legacy,2017-10-05,American Goldfinch.,Riley Barnes,date prepared: 2018-03-15,"skin, study",1,Fair.,in collection,Erin Dunbar,preparator,Riley Barnes,collector,,,preparator number,,,collection,wild caught,Riley Barnes,2017-10-05,,10/5/2017,2017-10-05,2017-10-05,"time found: 12:00 PM; estimated time of death: between 9 and 11am; weather: mostly sunny, 75F","west of Corona's Cafe, 911 W. Irving Park Rd, Chicago, IL","North America, United States, Illinois, Cook County","west of Corona's Cafe, 911 West Irving Park Road, Chicago",,"Found on sidewalk few inches away from the side of the building, laying on it's side. Neck may be broken.",,weight,10,g,,2018-03-15,Erin Dunbar,total length,129.39,mm,,2018-03-15,Erin Dunbar,tarsus length,21.23,mm,,2018-03-15,Erin Dunbar,tail length,57.42,mm,,2018-03-15,Erin Dunbar,wing chord,74.47,mm,,2018-03-15,Erin Dunbar,,,,,,,fat deposition,trace,,,2018-03-15,Erin Dunbar,molt condition,body,,,2018-03-15,Erin Dunbar,skull ossification,5%,,2018-03-15,Erin Dunbar,,,,,
AF-35,2018.1.57,[CHAS:Mamm]2018.1,CHAS:Bird,22,unverified,achinn,Sturnus vulgaris,student,2018-05-19,European Starling.,Annamarie Fadorsen,date prepared: 2018-05-19,"skin, study",1,Excellent.,in collection,Annamarie Fadorsen,preparator,Annamarie Fadorsen,collector,,,preparator number,,,collection,wild caught,Annamarie Fadorsen,2017-07-05,window strike,05 07 2017,2017-07-05,2017-07-05,"time found: 10:25 AM; estimated time of death: 10:15 AM; weather: sunny, 74F","1-12, PNNM","North America, United States, Illinois, Cook County","site #1-12, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",,,Tip of beak bent by window impact.,weight,55,g,,2018-05-19,Annamarie Fadorsen,total length,175,mm,,2018-05-19,Annamarie Fadorsen,tarsus length,27.24,mm,,2018-05-19,Annamarie Fadorsen,tail length,49,mm,,2018-05-19,Annamarie Fadorsen,wing chord,98.16,mm,,2018-05-19,Annamarie Fadorsen,bill length,27.4,mm,measured from tip of bill to the corner of gape,2018-05-19,Annamarie Fadorsen,fat deposition,light,,,2018-05-19,Annamarie Fadorsen,molt condition,"body, wings, tail",,,2018-05-19,Annamarie Fadorsen,skull ossification,0%,,2018-05-19,Annamarie Fadorsen,age class,immature,,2017-05-07,Annamarie Fadorsen
BS-36,1992.3.4,[CHAS:Mamm]1992.3,CHAS:Bird,13,unverified,achinn,Agelaius phoeniceus,student,2018-03-21,Red-winged Blackbird.,Brittany Sowacke,date prepared: 2018-03-21,"skin, study",1,Good.,in collection,Brittany Sowacke,preparator,Willowbrook Wildlife Haven,collector,,,preparator number,920523,collector number,collection,wild caught,Anna Chinn,2018-10-03,likely hit by car,no date recorded,1800-01-01,2018-03-21,Specimen assumed to have been collected in Illinois given the geographic scope of Willowbrook Wildlife Haven's operation [achinn 28 September 2018].,no verbatim locality recorded,"North America, United States, Illinois",no specific locality recorded,,,,weight,54,g,,2018-03-21,Brittany Sowacke,total length,230,mm,,2018-03-21,Brittany Sowacke,tarsus length,20,mm,,2018-03-21,Brittany Sowacke,tail length,103,mm,,2018-03-21,Brittany Sowacke,wing chord,120,mm,,2018-03-21,Brittany Sowacke,bill length,22,mm,measured from tip of bill to the corner of gape,2018-03-21,Brittany Sowacke,fat deposition,trace,,,2018-03-21,Brittany Sowacke,molt condition,none,,,2018-03-21,Brittany Sowacke,,,,,,,,,,
CB-03,2018.1.59,[CHAS:Mamm]2018.1,CHAS:Bird,8,unverified,achinn,Passer domesticus,student,2018-04-17,House Sparrow.,Cassie Baron,date prepared: 2018-04-17,"skin, study",1,Fair.,in collection,Cassie Baron,preparator,Lalainya Goldsberry,collector,,,preparator number,,,collection,wild caught,Lalainya Goldsberry,2016-08-18,window strike,18 August 2016,2016-08-18,2016-08-18,time found: 10:00 AM; estimated time of death: ~5 AM; weather: clear/warm,"Found inside building in water (fountain) in front of river works, PNNM","North America, United States, Illinois, Cook County","inside building, in fountain in front of River Works, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago",,Found indoors.,,weight,27,g,,2018-04-17,Cassie Baron,total length,137,mm,,2018-04-17,Cassie Baron,tarsus length,27.71,mm,,2018-04-17,Cassie Baron,tail length,54.6,mm,,2018-04-17,Cassie Baron,wing chord,77.17,mm,,2018-04-17,Cassie Baron,,,,,,,fat deposition,trace,,,2018-04-17,Cassie Baron,molt condition,none,,,2018-04-17,Cassie Baron,skull ossification,100%,,2018-04-17,Cassie Baron,,,,,
