COLLECTION_OBJECT_ID,ENTEREDBY,ACCN,CAT_NUM,OTHER_ID_NUM_5,OTHER_ID_NUM_TYPE_5,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,IDENTIFICATION_REMARKS,MADE_DATE,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,LOCALITY_NAME,SPECIMEN_EVENT_REMARK,HABITAT,COLLECTING_METHOD,COLLECTING_SOURCE,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,COLLECTOR_AGENT_2,COLLECTOR_ROLE_2,COLLECTOR_AGENT_3,COLLECTOR_ROLE_3,GUID_PREFIX,PART_NAME_1,PART_CONDITION_1,PART_BARCODE_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_UNITS_1,ATTRIBUTE_REMARKS_1,ATTRIBUTE_DATE_1,ATTRIBUTE_DET_METH_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_UNITS_2,ATTRIBUTE_REMARKS_2,ATTRIBUTE_DATE_2,ATTRIBUTE_DET_METH_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_UNITS_3,ATTRIBUTE_REMARKS_3,ATTRIBUTE_DATE_3,ATTRIBUTE_DET_METH_3,ATTRIBUTE_DETERMINER_3,ATTRIBUTE_4,ATTRIBUTE_VALUE_4,ATTRIBUTE_UNITS_4,ATTRIBUTE_REMARKS_4,ATTRIBUTE_DATE_4,ATTRIBUTE_DET_METH_4,ATTRIBUTE_DETERMINER_4,ATTRIBUTE_5,ATTRIBUTE_VALUE_5,ATTRIBUTE_UNITS_5,ATTRIBUTE_REMARKS_5,ATTRIBUTE_DATE_5,ATTRIBUTE_DET_METH_5,ATTRIBUTE_DETERMINER_5,ATTRIBUTE_6,ATTRIBUTE_VALUE_6,ATTRIBUTE_UNITS_6,ATTRIBUTE_REMARKS_6,ATTRIBUTE_DATE_6,ATTRIBUTE_DET_METH_6,ATTRIBUTE_DETERMINER_6,ATTRIBUTE_7,ATTRIBUTE_VALUE_7,ATTRIBUTE_UNITS_7,ATTRIBUTE_REMARKS_7,ATTRIBUTE_DATE_7,ATTRIBUTE_DET_METH_7,ATTRIBUTE_DETERMINER_7,ATTRIBUTE_8,ATTRIBUTE_VALUE_8,ATTRIBUTE_UNITS_8,ATTRIBUTE_REMARKS_8,ATTRIBUTE_DATE_8,ATTRIBUTE_DET_METH_8,ATTRIBUTE_DETERMINER_8,ATTRIBUTE_9,ATTRIBUTE_VALUE_9,ATTRIBUTE_UNITS_9,ATTRIBUTE_REMARKS_9,ATTRIBUTE_DATE_9,ATTRIBUTE_DET_METH_9,ATTRIBUTE_DETERMINER_9,ATTRIBUTE_10,ATTRIBUTE_VALUE_10,ATTRIBUTE_UNITS_10,ATTRIBUTE_REMARKS_10,ATTRIBUTE_DATE_10,ATTRIBUTE_DET_METH_10,ATTRIBUTE_DETERMINER_10,SPECIMEN_EVENT_TYPE,COLL_OBJECT_REMARKS
1,achinn,[CHAS:Mamm]2019.1,2019.1.41,AD-06,preparator number,Passer domesticus,legacy,Lalainya Goldsberry,House Sparrow.,2018-06-28,Day 28 Month June Year 2018,2018-06-28,2018-06-28,,,"PNNM, left of ravine dock, Chicago, Cook, IL","PNNM, ravine",time found: 8:00 AM; time of death: 7:00 AM; weather: unknown,,unknown,wild caught,Lalainya Goldsberry,2018-06-28,unverified,Anastasia DeMaio,preparator,Lalainya Goldsberry,collector,,,CHAS:Bird,"skin, study",Good.,,1,in collection,,verbatim preservation date,2018-12-15,,date prepared,2018-12-15,,Anastasia DeMaio,verbatim collector,Lalainya,,,2018-12-15,,Anastasia DeMaio,culmen length,12,mm,,2018-12-15,,Anastasia DeMaio,bill depth,8,mm,,2018-12-15,,Anastasia DeMaio,bill width,8,mm,,2018-12-15,,Anastasia DeMaio,head length,33,mm,,2018-12-15,,Anastasia DeMaio,wing chord,93,mm,,2018-12-15,,Anastasia DeMaio,tarsus length,19.5,mm,,2018-12-15,,Anastasia DeMaio,tail length,58,mm,,2018-12-15,,Anastasia DeMaio,total length,141,mm,,2018-12-15,,Anastasia DeMaio,collection,INTERNAL REMARKS: Preparation notes: Before beginning taxidermy process it was noted that the base of tail was matted and crunchy possibly due to decay/parasites. Bird washed during prepartion.
2,achinn,[CHAS:Mamm]2019.1,2019.1.42,AD-08,preparator number,Oporornis philadelphia,legacy,Cindy Gray,Mourning Warbler. Identification verified by Anastasia DeMaio during preparation.,2018-05-22,Day 22 Month 5 Year 18,2018-05-22,2018-05-22,,,"PNNM, ravine south of door, Chicago, Cook, IL","PNNM, ravine",time found: 8:00 AM; time of death: unknown; weather: cloudy,,window stirke,wild caught,Cindy Gray,2018-05-22,unverified,Anastasia DeMaio,preparator,Cindy Gray,collector,,,CHAS:Bird,"skin, study",unchecked,,1,in collection,,verbatim preservation date,2019-02-27,,date prepared,2019-02-27,,Anastasia DeMaio,verbatim collector,C Gray,,,2019-02-27,,Anastasia DeMaio,culmen length,14,mm,,2019-02-27,,Anastasia DeMaio,bill depth,4,mm,,2019-02-27,,Anastasia DeMaio,bill width,5.5,mm,,2019-02-27,,Anastasia DeMaio,head length,32.1,mm,,2019-02-27,,Anastasia DeMaio,wing chord,62,mm,,2019-02-27,,Anastasia DeMaio,tarsus length,20.5,mm,,2019-02-27,,Anastasia DeMaio,tail length,48,mm,,2019-02-27,,Anastasia DeMaio,total length,113.5,mm,,2019-02-27,,Anastasia DeMaio,collection,
3,achinn,[CHAS:Mamm]2019.1,2019.1.43,AF-44,preparator number,Passerella iliaca,student,Nina D'Angier,Fox Sparrow. Identification verified by Annamarie Fadorsen during preparation.,2018-02-28,2/28/2018,2018-02-28,2018-02-28,"North America, United States, Illinois, Cook County","137 N Winchester Avenue, Chicago","137 N. Winchester, Chicago, Cook, IL",,"time found: 1:35 PM; weather: cloudy, 48° F",,probable window stirke,wild caught,Nina D'Angier,2018-02-28,unverified,Annamarie Fadorsen,preparator,Nina D'Angier,collector,,,CHAS:Bird,"skin, study",Excellent.,,1,in collection,,verbatim preservation date,2019-02-22,,date prepared,2019-02-22,,Annamarie Fadorsen,verbatim collector,Nina D'Angier,,,2019-02-22,,Annamarie Fadorsen,culmen length,11.5,mm,,2019-02-22,,Annamarie Fadorsen,bill depth,8.5,mm,,2019-02-22,,Annamarie Fadorsen,bill width,9,mm,,2019-02-22,,Annamarie Fadorsen,head length,34,mm,,2019-02-22,,Annamarie Fadorsen,wing chord,84.5,mm,,2019-02-22,,Annamarie Fadorsen,tarsus length,22.5,mm,,2019-02-22,,Annamarie Fadorsen,tail length,69,mm,,2019-02-22,,Annamarie Fadorsen,total length,158,mm,,2019-02-22,,Annamarie Fadorsen,collection,"INTERNAL REMARKS: Preparation notes: Hole in neck skin upon exam, cause unknown."
4,achinn,[CHAS:Mamm]2019.1,2019.1.44,AN-03,preparator number,Agelaius phoeniceus,student,Annalise Nordgren,Red-winged Blackbird.,2019-01-24,Jan 2018 - Oct 2018,2018-01-01,2018-10-31,,,"PNNM, Chicago, Cook, IL",PNNM,A few dead ants found on bird. Right leg broken above ankle. ,,window stirke,wild caught,unknown,2018-10-31,unverified,Annalise Nordgren,preparator,unknown,collector,,,CHAS:Bird,"skin, study",Excellent.,,1,in collection,,verbatim preservation date,2019-01-24,,date prepared,2019-01-24,,Annalise Nordgren,verbatim collector,,,,2019-01-24,,Annalise Nordgren,culmen length,20,mm,,2019-01-24,,Annalise Nordgren,bill depth,10,mm,,2019-01-24,,Annalise Nordgren,bill width,8,mm,,2019-01-24,,Annalise Nordgren,head length,39,mm,,2019-01-24,,Annalise Nordgren,wing chord,97,mm,,2019-01-24,,Annalise Nordgren,tarsus length,28,mm,,2019-01-24,,Annalise Nordgren,tail length,71,mm,,2019-01-24,,Annalise Nordgren,total length,173,mm,,2019-01-24,,Annalise Nordgren,collection,INTERNAL REMARKS: Preparation notes: Orange on shoulder but not visible from preservation angle.
5,achinn,[CHAS:Mamm]2019.1,2019.1.45,AF-45,preparator number,Catharus ustulatus,legacy,Cindy Gray,Swainson's Thrush. Identification verified by Annamarie Fadorsen during preparation.,2018-05-22,Day 22 Month 5 Year 18,2018-05-22,2018-05-22,,,"CAS/PNNM, Ravine North of door, Chicago, Cook, IL","PNNM, ravine",time found: 6:50 AM; weather: cloudy,,window stirke,wild caught,Cindy Gray,2018-05-22,unverified,Annamarie Fadorsen,preparator,Cindy Gray,collector,,,CHAS:Bird,"skin, study",Good.,,1,in collection,,verbatim preservation date,2019-04-24,,date prepared,2019-04-24,,Annamarie Fadorsen,verbatim collector,C Gray,,,2019-04-24,,Annamarie Fadorsen,culmen length,13.33,mm,,2019-04-24,,Annamarie Fadorsen,bill depth,4.86,mm,,2019-04-24,,Annamarie Fadorsen,bill width,7.58,mm,,2019-04-24,,Annamarie Fadorsen,head length,37.2,mm,,2019-04-24,,Annamarie Fadorsen,wing chord,140,mm,,2019-04-24,,Annamarie Fadorsen,tarsus length,30,mm,,2019-04-24,,Annamarie Fadorsen,tail length,72,mm,,2019-04-24,,Annamarie Fadorsen,total length,157,mm,,2019-04-24,,Annamarie Fadorsen,collection,
6,achinn,[CHAS:Mamm]2019.1,2019.1.46,CJ-02,preparator number,Catharus ustulatus,student,Charmaine John,Swainson's Thrush.,2019-02-19,9/6/18,2018-09-06,2018-09-06,,,"PNNM, ravine, Chicago, Cook, IL","PNNM, ravine",,,unknown,wild caught,unknown,2018-09-06,unverified,Charmaine John,preparator,unknown,collector,,,CHAS:Bird,"skin, study",Excellent.,,1,in collection,,verbatim preservation date,2019-02-19,,date prepared,2019-02-19,,Charmaine John,verbatim collector,,,,2019-02-19,,Charmaine John,culmen length,9,mm,,2019-02-19,,Charmaine John,bill depth,2,mm,,2019-02-19,,Charmaine John,bill width,10,mm,,2019-02-19,,Charmaine John,head length,34,mm,,2019-02-19,,Charmaine John,wing chord,110,mm,,2019-02-19,,Charmaine John,tarsus length,30,mm,,2019-02-19,,Charmaine John,tail length,65,mm,,2019-02-19,,Charmaine John,total length,160,mm,,2019-02-19,,Charmaine John,collection,
7,achinn,[CHAS:Mamm]2019.1,2019.1.47,CJ-03,preparator number,Zonotrichia leucophrys,legacy,Cindy Gray,White-crowned Sparrow.,2018-05-06,Day 6 Month 5 Year 18,2018-05-06,2018-05-06,,,"PNNM, ravine window S, Chicago, Cook, IL","PNNM, ravine",time found: 7:15 AM; time of death: 7:15 AM; weather: pleasant,,window stirke,wild caught,Cindy Gray,2018-05-06,unverified,Charmaine John,preparator,Cindy Gray,collector,,,CHAS:Bird,"skin, study",Good.,,1,in collection,,verbatim preservation date,2019-03-05,,date prepared,2019-03-05,,Charmaine John,verbatim collector,C Gray,,,2019-03-05,,Charmaine John,culmen length,10.25,mm,,2019-03-05,,Charmaine John,bill depth,6,mm,,2019-03-05,,Charmaine John,bill width,7,mm,,2019-03-05,,Charmaine John,head length,30,mm,,2019-03-05,,Charmaine John,wing chord,83,mm,,2019-03-05,,Charmaine John,tarsus length,24,mm,,2019-03-05,,Charmaine John,tail length,67,mm,,2019-03-05,,Charmaine John,total length,156,mm,,2019-03-05,,Charmaine John,collection,INTERNAL REMARKS: Preparation notes: Left Hallux malformed. Looks like some growth apparent. Claw deformed/stunted.
8,achinn,[CHAS:Mamm]2019.1,2019.1.48,JC-31,preparator number,Oporornis agilis,student,Julianna Crisanti,Connecticut Warbler.,2019-03-14,5/17/01,2001-05-17,2001-05-17,,,"PNNM, Ravine doors, Chicago, Cook, IL","PNNM, ravine","RENA, note in bag: poor little guys; found in bag with 2019.1.56",,,wild caught,unknown,2001-05-17,unverified,Julianna Crisanti,preparator,unknown,collector,,,CHAS:Bird,whole organism (dry),Excellent.,,1,in collection,freeze-dried,verbatim preservation date,2019-03-14,,date prepared,2019-03-14,,Julianna Crisanti,verbatim collector,,,,2019-03-14,,Julianna Crisanti,culmen length,11.55,mm,,2019-03-14,,Julianna Crisanti,bill depth,4.57,mm,,2019-03-14,,Julianna Crisanti,bill width,4.51,mm,,2019-03-14,,Julianna Crisanti,head length,32.53,mm,,2019-03-14,,Julianna Crisanti,wing chord,70.59,mm,,2019-03-14,,Julianna Crisanti,tarsus length,20.26,mm,,2019-03-14,,Julianna Crisanti,tail length,54.42,mm,,2019-03-14,,Julianna Crisanti,total length,113.19,mm,,2019-03-14,,Julianna Crisanti,collection,
9,achinn,[CHAS:Mamm]2019.1,2019.1.49,JW-06,preparator number,Seiurus aurocapilla,expert,Celeste Troon,Ovenbird.,2018-05-09,Day 09 Month May Year 2018,2018-05-09,2018-05-09,,,"PNNM 3, Chicago, Cook, IL","PNNM, window 3",time found: 11:05 AM; time of death: 11ish; weather: sunny 70°,,presumed window stirke,wild caught,Celeste Troon,2018-05-09,unverified,Jensen Wong,preparator,Celeste Troon,collector,,,CHAS:Bird,"skin, study",Fair.,,1,in collection,,verbatim preservation date,2019-03-22,,date prepared,2019-03-22,,Jensen Wong,verbatim collector,Celeste,,,2019-03-22,,Jensen Wong,culmen length,11.5,mm,,2019-03-22,,Jensen Wong,bill depth,4.7,mm,,2019-03-22,,Jensen Wong,bill width,6.6,mm,,2019-03-22,,Jensen Wong,head length,33.9,mm,,2019-03-22,,Jensen Wong,wing chord,74.6,mm,,2019-03-22,,Jensen Wong,tarsus length,23.1,mm,,2019-03-22,,Jensen Wong,tail length,59.5,mm,,2019-03-22,,Jensen Wong,total length,122.4,mm,,2019-03-22,,Jensen Wong,collection,"INTERNAL REMARKS: Preparation notes: Measurements taken shortly after initial incision, some sawdust added, nothing removed."
10,achinn,[CHAS:Mamm]2019.1,2019.1.50,JW-07,preparator number,Mniotilta varia,student,Jensen Wong,Black-and-white Warbler.,2019-03-28,5/18/93,1998-05-18,1998-05-18,"North America, United States, Illinois, Cook County",Chicago Historical Society,"Chicago Historical Society, Chicago, Cook, IL",,,,,wild caught,unknown,1998-05-18,unverified,Jensen Wong,preparator,unknown,collector,,,CHAS:Bird,"skin, study",Excellent.,,1,in collection,,verbatim preservation date,2019-03-28,,date prepared,2019-03-28,,Jensen Wong,verbatim collector,,,,2019-03-28,,Jensen Wong,culmen length,13.1,mm,,2019-03-28,,Jensen Wong,bill depth,3.3,mm,,2019-03-28,,Jensen Wong,bill width,6.2,mm,,2019-03-28,,Jensen Wong,head length,28.8,mm,,2019-03-28,,Jensen Wong,wing chord,63.4,mm,,2019-03-28,,Jensen Wong,tarsus length,16.8,mm,,2019-03-28,,Jensen Wong,tail length,45.5,mm,,2019-03-28,,Jensen Wong,total length,110,mm,,2019-03-28,,Jensen Wong,collection,INTERNAL REMARKS: Preparation notes: Original data label was lost or discarded during preparation.
11,achinn,[CHAS:Mamm]2019.1,2019.1.51,KO-25,preparator number,Zonotrichia albicollis,student,Kristi Overgaard,White-throated sparrow.,2019-02-12,Jan 2018 - Oct 2018,2018-01-01,2018-10-31,,,"PNNM, Chicago, Cook, IL",PNNM,,,window stirke,wild caught,unknown,2018-10-31,unverified,Kristi Overgaard,preparator,unknown,collector,,,CHAS:Bird,"skin, study",Excellent.,,1,in collection,,verbatim preservation date,2019-02-12,,date prepared,2019-02-12,,Kristi Overgaard,verbatim collector,,,,2019-02-12,,Kristi Overgaard,culmen length,11.94,mm,,2019-02-12,,Kristi Overgaard,bill depth,7.44,mm,,2019-02-12,,Kristi Overgaard,bill width,7.75,mm,,2019-02-12,,Kristi Overgaard,head length,30.59,mm,,2019-02-12,,Kristi Overgaard,wing chord,75,mm,,2019-02-12,,Kristi Overgaard,tarsus length,23.64,mm,,2019-02-12,,Kristi Overgaard,tail length,79.13,mm,,2019-02-12,,Kristi Overgaard,total length,149.37,mm,,2019-02-12,,Kristi Overgaard,collection,
12,achinn,[CHAS:Mamm]2019.1,2019.1.52,KW-14,preparator number,Regulus satrapa,student,Kristian Williams,Golden-crowned Kinglet.,2019-03-27,22-Oct-2004,2004-10-22,2004-10-22,"North America, United States, Illinois, Cook County","west side, north panels, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago","PNNM W. side N. panels, Chicago, Cook, IL",,,,window stirke,wild caught,Celeste Troon,2004-10-22,unverified,Kristian Williams,preparator,Celeste Troon,collector,Citlally Fabela,preparator,CHAS:Bird,"skin, study",Good.,,1,in collection,,verbatim preservation date,2019-03-27,,date prepared,2019-03-27,,Kristian Williams,verbatim collector,Celeste Troon,,,2019-03-27,,Kristian Williams,culmen length,3.5,mm,,2019-03-27,,Kristian Williams,bill depth,1,mm,,2019-03-27,,Kristian Williams,bill width,1.5,mm,,2019-03-27,,Kristian Williams,head length,21,mm,,2019-03-27,,Kristian Williams,wing chord,54,mm,,2019-03-27,,Kristian Williams,tarsus length,11.5,mm,,2019-03-27,,Kristian Williams,tail length,33,mm,,2019-03-27,,Kristian Williams,total length,93,mm,,2019-03-27,,Kristian Williams,collection,
13,achinn,[CHAS:Mamm]2019.1,2019.1.53,LG-03,preparator number,Sturnus vulgaris,student,Lindsey Gregori,Common Starling.,2019-01-23,Day 10 Month 7 Year 18,2018-07-10,2018-07-10,"North America, United States, Illinois, Cook County","North Gallery, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago","PNNM, North Gallery, Chicago, Cook, IL",,"time found: 8:15 AM; time of death: 8:10 AM; weather: hot, clear",,,wild caught,Chicago Academy of Sciences,2018-07-10,unverified,Lindsey Gregori,preparator,Chicago Academy of Sciences,collector,,,CHAS:Bird,"skin, study",Excellent.,,1,in collection,,verbatim preservation date,2019-01-23,,date prepared,2019-01-23,,Lindsey Gregori,verbatim collector,Olivia,,,2019-01-23,,Lindsey Gregori,culmen length,25.33,mm,,2019-01-23,,Lindsey Gregori,bill depth,5.14,mm,,2019-01-23,,Lindsey Gregori,bill width,4.94,mm,,2019-01-23,,Lindsey Gregori,head length,49.06,mm,,2019-01-23,,Lindsey Gregori,wing chord,122,mm,,2019-01-23,,Lindsey Gregori,tarsus length,26.14,mm,,2019-01-23,,Lindsey Gregori,tail length,58.58,mm,,2019-01-23,,Lindsey Gregori,total length,187,mm,,2019-01-23,,Lindsey Gregori,collection,
14,achinn,[CHAS:Mamm]2019.1,2019.1.54,JC-26,preparator number,Melospiza melodia ?,expert,Celeste Troon,"Song Sparrow. Identification verified by Julianna Crisanti. Very similar to song sparrow, very dark though.",2008-09-22,Day 22 Month 09 Year 2008,2008-09-22,2008-09-22,,,"PNNM, 3, Chicago, Cook, IL","PNNM, window 3",time found: 11:25 AM; time of death: 11:20 AM; weather: sunny + warm,,,wild caught,Celeste Troon,2008-09-22,unverified,Julianna Crisanti,preparator,Celeste Troon,collector,,,CHAS:Bird,"skin, study",Excellent.,,1,in collection,,verbatim preservation date,2019-01-24,,date prepared,2019-01-24,,Julianna Crisanti,verbatim collector,Celeste,,,2019-01-24,,Julianna Crisanti,culmen length,12.47,mm,,2019-01-24,,Julianna Crisanti,bill depth,7.12,mm,,2019-01-24,,Julianna Crisanti,bill width,6.69,mm,,2019-01-24,,Julianna Crisanti,head length,30.3,mm,,2019-01-24,,Julianna Crisanti,wing chord,63.01,mm,,2019-01-24,,Julianna Crisanti,tarsus length,23.16,mm,,2019-01-24,,Julianna Crisanti,tail length,68.18,mm,,2019-01-24,,Julianna Crisanti,total length,140,mm,,2019-01-24,,Julianna Crisanti,collection,
