guid,attribute_type,attribute_value,remark,determiner,determined_date,PART_NAME
CHAS:Herp:2019.6.51,location,PNNM: Beecher Lab, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.52,location,PNNM: Beecher Lab, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.53,location,PNNM: Beecher Lab, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.54,location,PNNM: Beecher Lab, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.55,location,PNNM: Beecher Lab, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.56,location,PNNM: Beecher Lab, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.57,location,PNNM: Beecher Lab, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.58,location,PNNM: Beecher Lab, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.59,location,PNNM: Beecher Lab, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.60,location,PNNM: Beecher Lab, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.61,location,PNNM: Beecher Lab, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.62,location,PNNM: Beecher Lab, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.63,location,PNNM: Beecher Lab, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Teach:E2020G.4,location,PNNM: Beecher Lab: back shelf,,Dawn R. Roberts,2017-05-18,whole organism (70% ethanol)
CHAS:Herp:2019.6.2,location,Reebie, ,Dawn R. Roberts,9/17/2014,whole organism (70% ethanol)
CHAS:Herp:2019.6.3,location,Reebie, ,Dawn R. Roberts,9/17/2014,whole organism (70% ethanol)
CHAS:Herp:2019.6.6,location,Reebie, ,Dawn R. Roberts,9/17/2014,whole organism (70% ethanol)
CHAS:Herp:2019.6.10,location,Reebie, ,Dawn R. Roberts,9/17/2014,whole organism (70% ethanol)
CHAS:Herp:2019.6.15,location,Reebie, ,Dawn R. Roberts,9/17/2014,whole organism (70% ethanol)
CHAS:Herp:2019.6.20,location,Reebie, ,Dawn R. Roberts,9/17/2014,whole organism (70% ethanol)
CHAS:Herp:2019.6.21,location,Reebie, ,Dawn R. Roberts,9/17/2014,whole organism (70% ethanol)
CHAS:Herp:2019.6.23,location,Reebie, ,Dawn R. Roberts,9/17/2014,whole organism (70% ethanol)
CHAS:Herp:2019.6.24,location,Reebie, ,Dawn R. Roberts,9/17/2014,whole organism (70% ethanol)
CHAS:Herp:2019.6.26,location,Reebie, ,Dawn R. Roberts,9/17/2014,whole organism (70% ethanol)
CHAS:Teach:E2020G.1,location,Reebie: Locker 300A,"6 snakes with field/collector numbers, 6 snakes with no numbers.",Dawn R. Roberts,2017-05-18,whole organism (70% ethanol)
CHAS:Herp:2019.6.27,location,Reebie: Locker 300A: non-USA shelf, ,Dawn R. Roberts,6/26/2015,whole organism (70% ethanol)
CHAS:Herp:2019.6.28,location,Reebie: Locker 300A: non-USA shelf, ,Dawn R. Roberts,6/26/2015,whole organism (70% ethanol)
CHAS:Herp:1954.5355.3000,location,Reebie: Locker 300A: non-USA shelf, ,Dawn R. Roberts,6/26/2015,whole organism (70% ethanol)
CHAS:Herp:2019.6.11,location,Reebie: Locker 300A: Unit 5: Shelf D, ,Dawn R. Roberts,11/24/2014,model
CHAS:Herp:2019.6.5,location,Reebie: Locker 303A: Unit 17: Shelf B,Stored in jar with NWU-470.,Dawn R. Roberts,3/21/2015,whole organism (70% ethanol)
CHAS:Herp:1954.5355.3001,location,Reebie: Locker 304A: Unit 24: Shelf D, ,Dawn R. Roberts,2/18/2016,whole organism (70% ethanol)
CHAS:Herp:2019.6.8,location,Reebie: Locker 304A?, ,Dawn R. Roberts,9/17/2014,whole organism (70% ethanol)
CHAS:Herp:2019.6.9,location,Reebie: Locker 304A?, ,Dawn R. Roberts,9/17/2014,whole organism (70% ethanol)
CHAS:Herp:2019.6.13,location,Reebie: Locker 304A?, ,Dawn R. Roberts,9/17/2014,whole organism (70% ethanol)
CHAS:Herp:2019.6.14,location,Reebie: Locker 304A?, ,Dawn R. Roberts,9/17/2014,whole organism (70% ethanol)
CHAS:Herp:2019.6.16,location,Reebie: Locker 304A?, ,Dawn R. Roberts,9/17/2014,whole organism (70% ethanol)
CHAS:Herp:2019.6.17,location,Reebie: Locker 304A?, ,Dawn R. Roberts,9/17/2014,whole organism (70% ethanol)
CHAS:Herp:2019.6.18,location,Reebie: Locker 304A?, ,Dawn R. Roberts,9/17/2014,whole organism (70% ethanol)
CHAS:Herp:2019.6.19,location,Reebie: Locker 304A?, ,Dawn R. Roberts,9/17/2014,whole organism (70% ethanol)
CHAS:Teach:E2020G.2,location,Reebie: Locker 304A?, ,Dawn R. Roberts,9/17/2014,whole organism (70% ethanol)
CHAS:Herp:2019.6.25,location,Reebie: Locker 304A?, ,Dawn R. Roberts,9/17/2014,whole organism (70% ethanol)
CHAS:Herp:2019.6.79,location,Reebie: Locker 300A: non-USA shelf, ,Dawn R. Roberts,2015-06-26,whole organism (70% ethanol)
CHAS:Herp:2019.6.80,location,Reebie: Locker 300A: non-USA shelf, ,Dawn R. Roberts,2015-06-26,whole organism (70% ethanol)
CHAS:Herp:2019.6.35,location,Reebie: Locker 312A?, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.36,location,Reebie: Locker 312A?, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:1950.5274.1,location,Reebie: Locker 312A?, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:1937.4357.1,location,Reebie: Locker 312A?, ,Dawn R. Roberts,2016-02-26,whole organism (70% ethanol)
CHAS:Herp:2019.6.37,location,Reebie: Locker 312A?, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.38,location,Reebie: Locker 312A?, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.39,location,Reebie: Locker 312A?, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.40,location,Reebie: Locker 312A?, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.41,location,Reebie: Locker 312A?, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.42,location,Reebie: Locker 312A?, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.43,location,Reebie: Locker 312A?, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.44,location,Reebie: Locker 312A?, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.45,location,Reebie: Locker 312A?, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.46,location,Reebie: Locker 312A?, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.47,location,Reebie: Locker 312A?, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.48,location,Reebie: Locker 312A?, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.73,location,Reebie: Locker 312A?, ,Dawn R. Roberts,2014-09-17,egg (70% ethanol)
CHAS:Herp:2019.6.74,location,Reebie: Locker 312A?, ,Dawn R. Roberts,2014-09-17,egg (70% ethanol)
CHAS:Herp:2019.6.75,location,Reebie: Locker 312A?, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.76,location,Reebie: Locker 312A?, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.77,location,Reebie: Locker 312A?, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.78,location,Reebie: Locker 312A?, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.81,location,Reebie: Locker 312A?, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.82,location,Reebie: Locker 312A?, ,Dawn R. Roberts,2014-09-17,whole organism (70% ethanol)
CHAS:Herp:2019.6.50,location,"RVWD: 201: Front area, display shelves", ,Dawn R. Roberts,2015-03-20,whole organism (70% ethanol)
CHAS:Herp:2019.6.29,location,RVWD: 202.Library: DM Row 02: D, ,Dawn R. Roberts,2/26/2016,"skin, mounted"
CHAS:Herp:2019.6.30,location,RVWD: 202.Library: DM Row 02: D, ,Dawn R. Roberts,2/26/2016,"skin, mounted"
CHAS:Herp:2019.6.31,location,RVWD: 202.Library: DM Row 03: C, ,Dawn R. Roberts,2/26/2016,"skin, mounted"
CHAS:Herp:2019.6.32,location,RVWD: 202.Library: DM Row 03: D, ,Dawn R. Roberts,2/26/2016,"skin, mounted"
CHAS:Herp:2019.6.33,location,RVWD: 202.Library: On top of bookshelf, ,Dawn R. Roberts,2/26/2016,"skin, mounted"
CHAS:Herp:2019.6.68,location,RVWD: 302: On top of Orn Cab 01, ,Dawn R. Roberts,2015-03-20,whole organism (70% ethanol)
CHAS:Herp:2019.6.7,location,RVWD: 302: Small room: Herpetology shelves, ,Dawn R. Roberts,9/17/2014,skeleton
CHAS:Herp:2019.6.12,location,RVWD: 302: Small room: Herpetology shelves, ,Dawn R. Roberts,3/7/2015,whole organism (dry)
CHAS:Herp:2019.6.22,location,RVWD: 302: Small room: Herpetology shelves, ,Dawn R. Roberts,10/21/2015,"skeleton, mounted"
CHAS:Teach:E2020G.3,location,RVWD: 302: Small room: Herpetology shelves, ,Dawn R. Roberts,9/17/2014,skeleton
CHAS:Herp:2019.6.34,location,RVWD: 302: Small room: Herpetology shelves, ,Dawn R. Roberts,9/17/2014,skull
CHAS:Herp:2019.6.49,location,RVWD: 302: Small room: Herpetology shelves, ,Dawn R. Roberts,2014-09-17,skeleton
CHAS:Herp:2019.6.64,location,RVWD: 302: Small room: Herpetology shelves, ,Dawn R. Roberts,2014-09-17,skeleton
CHAS:Herp:2019.6.65,location,RVWD: 302: Small room: Herpetology shelves, ,Dawn R. Roberts,2014-09-17,skeleton
CHAS:Herp:2019.6.66,location,RVWD: 302: Small room: Herpetology shelves, ,Dawn R. Roberts,2014-09-17,skull
CHAS:Herp:2019.6.67,location,RVWD: 302: Small room: Herpetology shelves, ,Dawn R. Roberts,2014-09-17,skull
CHAS:Herp:2019.6.69,location,RVWD: 302: Small room: Herpetology shelves, ,Dawn R. Roberts,2014-09-17,skeleton
CHAS:Herp:2019.6.70,location,RVWD: 302: Small room: Herpetology shelves, ,Dawn R. Roberts,2014-09-17,skeleton
CHAS:Herp:2019.6.71,location,RVWD: 302: Small room: Herpetology shelves, ,Dawn R. Roberts,2014-09-17,skeleton
CHAS:Herp:2019.6.72,location,RVWD: 302: Small room: Herpetology shelves, ,Dawn R. Roberts,2014-09-17,whole organism (dry)