guid_prefix,other_id_type,other_id_number,scientific_name,made_date,nature_of_id,accepted_fg,identification_remarks,agent_1,agent_2
CHAS:Inv,catalog number,19293,Alasmidonta heterodon,2019-07-26,expert,1,Dwarf wedge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,14828,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,7161,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,14818,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,19331,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,25060,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,5692,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,18411,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,25179,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,20119,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,22356,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,20149,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,14813,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,7160,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,5691,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,1712,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,13200,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,7159,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,12414,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,17893,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,14812,Alasmidonta marginata,2019-07-26,expert,1,Elktoe mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,24147,Alasmidonta undulata,2019-07-26,expert,1,Triangle Floater. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,24148,Alasmidonta undulata,2019-07-26,expert,1,Triangle Floater. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,19292,Alasmidonta undulata,2019-07-26,expert,1,Triangle Floater. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,8509,Alasmidonta viridis,2019-07-26,expert,1,Alasmidonta viridis mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,8364,Alasmidonta viridis,2019-07-26,expert,1,Alasmidonta viridis mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,17890,Alasmidonta viridis,2019-07-26,expert,1,Alasmidonta viridis mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,17892,Alasmidonta viridis,2019-07-26,expert,1,Alasmidonta viridis mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,13059,Alasmidonta viridis,2019-07-26,expert,1,Alasmidonta viridis mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,10085,Alasmidonta viridis,2019-07-26,expert,1,Alasmidonta viridis mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,20748,Alasmidonta viridis,2019-07-26,expert,1,Alasmidonta viridis mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,10092,Alasmidonta viridis,2019-07-26,expert,1,Alasmidonta viridis mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,20143,Alasmidonta viridis,2019-07-26,expert,1,Alasmidonta viridis mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,19270,Alasmidonta viridis,2019-07-26,expert,1,Alasmidonta viridis mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,17891,Alasmidonta viridis,2019-07-26,expert,1,Alasmidonta viridis mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,12416,Alasmidonta viridis,2019-07-26,expert,1,Alasmidonta viridis mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,19186,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,15072,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,20937.2,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,12252,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,17915,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,24421,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,15073.1,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,16030,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,20145,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,22939,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,15075,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,15080,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,18298,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,1810,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,17930,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,20270,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,19551,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,8416,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,15081,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,17918,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,15071,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,15082,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,12384,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,12374,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,12450,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,9347,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,20175,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,20430,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,9334,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,17924,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,13442,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,1827,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,13426,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,19552,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,17926,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,15074,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,20230,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,17916,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,22349,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,22425,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,10026,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,21065.1,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,20820,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,5754,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,19187,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,5751,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,17917,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,1829,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,17931,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,17932,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,17925,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,13003,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,1908.2728.6,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,1908.2728.5,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,21000,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,1895.446.1,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.56,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,15073.2,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,1899.398.1,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,18017,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.53,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.54,Amblema plicata,2019-07-26,expert,1,Three-ridge mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,22187,Anodonta cataracta,2019-07-26,expert,1,Freshwater mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,20506,Anodonta cataracta,2019-07-26,expert,1,Freshwater mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,1690,Anodonta cygnea,2019-07-26,expert,1,Swan mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,13452,Anodonta implicata,2019-07-26,expert,1,Alewife floater mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,22363,Anodonta nuttalliana,2019-07-26,expert,1,Winged floater mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,28209,Anodontoides ferussacianus,2019-07-26,expert,1,Cylindrical papershell. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,12948,Anodontoides ferussacianus,2019-07-26,expert,1,Cylindrical papershell. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,13587,Anodontoides ferussacianus,2019-07-26,expert,1,Cylindrical papershell. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,4040,Anodontoides ferussacianus,2019-07-26,expert,1,Cylindrical papershell. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,15032,Anodontoides ferussacianus,2019-07-26,expert,1,Cylindrical papershell. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,18175,Anodontoides ferussacianus,2019-07-26,expert,1,Cylindrical papershell. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,25178,Anodontoides ferussacianus,2019-07-26,expert,1,Cylindrical papershell. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,22407,Anodontoides ferussacianus,2019-07-26,expert,1,Cylindrical papershell. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,8764,Anodontoides ferussacianus,2019-07-26,expert,1,Cylindrical papershell. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,14829,Arcidens confragosus,2019-07-26,expert,1,Rock pocketbook mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,20232,Arcidens confragosus,2019-07-26,expert,1,Rock pocketbook mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.179,Arcidens confragosus,2019-07-26,expert,1,Rock pocketbook mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,1901.1623.3,Arcidens confragosus,2019-07-26,expert,1,Rock pocketbook mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,14814,Arcidens confragosus,2019-07-26,expert,1,Rock pocketbook mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.690,Ellipsaria lineolata,2019-07-26,expert,1,Butterfly mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,1901.1623.4,Ellipsaria lineolata,2019-07-26,expert,1,Butterfly mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,18026,Ellipsaria lineolata,2019-07-26,expert,1,Butterfly mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.689,Ellipsaria lineolata,2019-07-26,expert,1,Butterfly mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.694,Elliptio complanata,2019-07-26,expert,1,Eastern Elliptio mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,2017.13.695,Elliptio complanata,2019-07-26,expert,1,Eastern Elliptio mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,1951.5300.237,Elliptio complanata,2019-07-26,expert,1,Eastern Elliptio mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
CHAS:Inv,catalog number,17904,Elliptio complanata,2019-07-26,expert,1,Eastern Elliptio mussel. Legacy identification verified during on-site visit during InvertEBase PEN grant period.,Kevin Cummings,Jeremy S. Tiemann
